Site,Layer,Date_BP,Date_Error,Lithic_Count,Raw_Material,Charcoal_d,Lithic_d,Mammal_d,Tortoise_d,Fish_d,Shell_d
Pancho's Kitchen,1,570,20,151,Quartz,15.6,4,23.7,31.7,0,8.4
Pancho's Kitchen,2,880,50,117,Quartz,10.3,4.7,4.8,50.8,0.1,5.2
Pancho's Kitchen,3,2640,60,227,Quartz,8,6.8,2.1,8.3,0.2,7.2
Pancho's Kitchen,4,2940,20,296,Quartz,24.9,6,8,11.2,3.5,6.7
Pancho's Kitchen,5,NA,NA,180,Quartz,19.2,6.6,4.3,16.5,0.3,5.3
Pancho's Kitchen,6,3060,60,127,Quartz,15.9,5.6,9.3,49.5,0.6,7.7
Pancho's Kitchen,7,3570,60,578,Quartz,7.6,11.9,9.1,17.2,0.2,4.7
Pancho's Kitchen,1,570,20,4,Quartzite,15.6,4,23.7,31.7,0,8.4
Pancho's Kitchen,2,880,50,1,Quartzite,10.3,4.7,4.8,50.8,0.1,5.2
Pancho's Kitchen,3,2640,60,5,Quartzite,8,6.8,2.1,8.3,0.2,7.2
Pancho's Kitchen,4,2940,20,19,Quartzite,24.9,6,8,11.2,3.5,6.7
Pancho's Kitchen,5,NA,NA,15,Quartzite,19.2,6.6,4.3,16.5,0.3,5.3
Pancho's Kitchen,6,3060,60,40,Quartzite,15.9,5.6,9.3,49.5,0.6,7.7
Pancho's Kitchen,7,3570,60,23,Quartzite,7.6,11.9,9.1,17.2,0.2,4.7
Pancho's Kitchen,1,570,20,0,CCS,15.6,4,23.7,31.7,0,8.4
Pancho's Kitchen,2,880,50,1,CCS,10.3,4.7,4.8,50.8,0.1,5.2
Pancho's Kitchen,3,2640,60,0,CCS,8,6.8,2.1,8.3,0.2,7.2
Pancho's Kitchen,4,2940,20,2,CCS,24.9,6,8,11.2,3.5,6.7
Pancho's Kitchen,5,NA,NA,5,CCS,19.2,6.6,4.3,16.5,0.3,5.3
Pancho's Kitchen,6,3060,60,5,CCS,15.9,5.6,9.3,49.5,0.6,7.7
Pancho's Kitchen,7,3570,60,3,CCS,7.6,11.9,9.1,17.2,0.2,4.7
Pancho's Kitchen,1,570,20,4,Silcrete,15.6,4,23.7,31.7,0,8.4
Pancho's Kitchen,2,880,50,0,Silcrete,10.3,4.7,4.8,50.8,0.1,5.2
Pancho's Kitchen,3,2640,60,10,Silcrete,8,6.8,2.1,8.3,0.2,7.2
Pancho's Kitchen,4,2940,20,20,Silcrete,24.9,6,8,11.2,3.5,6.7
Pancho's Kitchen,5,NA,NA,2,Silcrete,19.2,6.6,4.3,16.5,0.3,5.3
Pancho's Kitchen,6,3060,60,2,Silcrete,15.9,5.6,9.3,49.5,0.6,7.7
Pancho's Kitchen,7,3570,60,10,Silcrete,7.6,11.9,9.1,17.2,0.2,4.7
Pancho's Kitchen,1,570,20,0,Other,15.6,4,23.7,31.7,0,8.4
Pancho's Kitchen,2,880,50,0,Other,10.3,4.7,4.8,50.8,0.1,5.2
Pancho's Kitchen,3,2640,60,1,Other,8,6.8,2.1,8.3,0.2,7.2
Pancho's Kitchen,4,2940,20,2,Other,24.9,6,8,11.2,3.5,6.7
Pancho's Kitchen,5,NA,NA,1,Other,19.2,6.6,4.3,16.5,0.3,5.3
Pancho's Kitchen,6,3060,60,1,Other,15.9,5.6,9.3,49.5,0.6,7.7
Pancho's Kitchen,7,3570,60,4,Other,7.6,11.9,9.1,17.2,0.2,4.7
Tortoise Cave,1a,760,50,790,Quartz,,,,,,
